Title,Author,Year,ISBN,Target Users,Expertise Level,Lesson Plans or Projects,Subjects,Amazon Link,Worldcat Link,Annotation
Arduino workshop: a hands-on introduction with 65 projects,,,,,,checked,Arduinos,https://www.amazon.com/Arduino-Workshop-Hands-Introduction-Projects/dp/1593274483/ref=sr_1_1?keywords=Arduino+workshop%3A+a+hands-on+introduction+with+65+projects&qid=1569591579&s=gateway&sr=8-1,https://www.worldcat.org/title/arduino-workshop-a-hands-on-introduction-with-65-projects/oclc/940823119&referer=brief_results,"""Arduino workshop"" briefly discusses the basics of Arduino and then covers many applications and additions that enhance your use of your Arduino.  This would be helpful for someone who has already tried using an Arduino who is interested in advancing their knowledge."
Arduino workshop: a hands-on introduction with 65 projects,John Boxall,2013,978-1593274481,"General,College/University,Libraries","Beginner,Intermediate",checked,Arduinos,https://www.amazon.com/Arduino-Workshop-Hands-Introduction-Projects/dp/1593274483/ref=sr_1_1?ie=UTF8&qid=1541631535&sr=8-1&keywords=arduino+workshop,,
Adventures in Arduino,Becky Stewart,2015,978-1118948477,K-12,Beginner,checked,Arduinos,"https://www.amazon.com/Adventures-Arduino-Becky-Stewart/dp/1118948475/ref=sr_1_1?ie=UTF8&qid=1541632403&sr=8-1&keywords=adventures+in+arduino&dpID=51kUEtA7W4L&preST=_SX258_BO1,204,203,200_QL70_&dpSrc=srch",,UF Lib - TJ223.P76
Practical Arduino,"Jonathan Oxer,Hugh Blemings",2009,978-1430224778,"College/University,General,Libraries","Intermediate,Advanced",checked,Arduinos,https://www.amazon.com/Practical-Arduino-Projects-Hardware-Technology/dp/1430224770,,UF Library - QA76.76.O63O93 2009
Pro Arduino,"Rick Anderson,Dan Cervo",2013,978-1430239390,"College/University,Libraries",Advanced,checked,Arduinos,"https://www.amazon.com/Arduino-Technology-Action-Rick-Anderson/dp/1430239395/ref=sr_1_2?s=books&ie=UTF8&qid=1541654520&sr=1-2&keywords=Pro+Arduino&dpID=51h3K8dlXoL&preST=_SX258_BO1,204,203,200_QL70_&dpSrc=srch",,UF Library - TJ223.P76A53 2013eb
Arduino Playground: Geeky Projects for the Experienced Maker,Warren Andrews,2017,978-1593277444,"College/University,General,Libraries","Advanced,Intermediate",checked,Arduinos,"https://www.amazon.com/Arduino-Playground-Geeky-Projects-Experienced/dp/159327744X/ref=sr_1_1?s=books&ie=UTF8&qid=1541655140&sr=1-1&keywords=Arduino+Playground&dpID=51HyAc8oCoL&preST=_SX218_BO1,204,203,200_QL40_&dpSrc=srch",,UF Library - TJ223.P76
Arduino for Dummies,John Nussey,2013,978-1118446379,"General,College/University,Libraries","Beginner,Intermediate",checked,Arduinos,"https://www.amazon.com/Arduino-Dummies-John-Nussey/dp/1118446372/ref=sr_1_1?s=books&ie=UTF8&qid=1541655908&sr=1-1&keywords=arduino+for+dummies&dpID=51nLOVNuP%252BL&preST=_SX218_BO1,204,203,200_QL40_&dpSrc=srch",,UF Library - TJ223.P76N87749
Arduino Project Handbook: 25 Practical Projects to Get You Started,Mark Geddes,2016,978-1593276904,"College/University,Libraries,General",Beginner,checked,Arduinos,"https://www.amazon.com/Arduino-Project-Handbook-Practical-Projects/dp/1593276907/ref=sr_1_1?s=books&ie=UTF8&qid=1541656366&sr=1-1&keywords=arduino+project+handbook&dpID=51sLZyL00IL&preST=_SX218_BO1,204,203,200_QL40_&dpSrc=srch",http://www.worldcat.org/oclc/913335237,UF Lib - TJ223.P76
Arduino Microcontroller: Processing for Everyone!,Steven F. Barrett,2012,978-1627052535,"College/University,K-12,Libraries,General","Beginner,Intermediate",checked,Arduinos,https://www.amazon.com/Arduino-Microcontroller-Processing-Everyone-Synthesis/dp/1627052534/ref=sr_1_2?s=books&ie=UTF8&qid=1541656853&sr=1-2&keywords=arduino+microcontroller,http://www.worldcat.org/oclc/862113184,UF Library Online link
Arduino for Dummies.,"John; ProQuest (Firm),Consumer; Nussey,Dummies",2018,978-1-119-48954-2,General,"Beginner,Intermediate",,Arduinos,https://www.amazon.com/Arduino-Dummies-Computer-Tech/dp/1119489547/ref=sr_1_3?keywords=arduino+for+dummies&qid=1574350591&sr=8-3,https://www.worldcat.org/title/arduino-for-dummies/oclc/1048924447&referer=brief_results,"This book will be helpful for beginners, hobbyists, and more experienced electronics enthusiasts.  It includes instructions in a number of Arduino functions, including blinking LEDs, creating an Arduino sketch, and some basics of processing."
Building Arduino projects for the internet of things : experiments with real-world applications,"Adeel,Javed",2016,1-4842-1940-6,General,Beginner,checked,"Arduinos,Internet of Things",https://www.amazon.com/Building-Arduino-Projects-Internet-Things-ebook/dp/B01HUOW60K/ref=sr_1_1?keywords=Building+Arduino+projects+for+the+internet+of+things+%3A+experiments+with+real-world+applications&qid=1571080037&sr=8-1,https://www.worldcat.org/title/building-arduino-projects-for-the-internet-of-things-experiments-with-real-world-applications/oclc/948547274&referer=brief_results,This book introduces you to the Internet of Things and how Arduinos can help you create smarter objects.  It covers the basics of Arduinos and different patterns (input to response) that you can use to optimize your IoT project.  Most chapters include examples to guide you through the development if its specific pattern.
Internet of Things programming with JavaScript : learn the art of bringing the Internet of Things into your projects with the power of JavaScript,"Ruben Oliva,Ramos",2017,1-78588-856-0 978-1-78588-856-4,General,"Beginner,Intermediate",,"Internet of Things,Programming,Raspberry Pi's,Arduinos",https://www.amazon.com/Internet-Things-IoT-Technologies-Applications/dp/1138035009/ref=sr_1_1?ie=UTF8&qid=1543368706&sr=8-1&keywords=internet+of+things+technologies+applications+challenges+and+solutions,https://www.worldcat.org/title/internet-of-things-programming-with-javascript-learn-the-art-of-bringing-the-internet-of-things-into-your-projects-with-the-power-of-javascript/oclc/1078360287&referer=brief_results,"This book explores the combination of Raspberry Pis and Arduinos to create personalized smart-home projects like safety sensors, webcam monitoring, and developing an iPhone app to control your devices.  It includes a list of required materials and step by step instructions and code commands for your convenience.  "
Raspberry Pi for Arduino users : building IoT and network applications and devices,"James R.,Strickland",2018,1-4842-3413-8,General,"Intermediate,Advanced",checked,"Arduinos,Raspberry Pi's,Programming",https://www.amazon.com/Raspberry-Pi-Arduino-Users-Applications/dp/1484234138/ref=sr_1_1?keywords=Raspberry+Pi+for+Arduino+users+%3A+building+IoT+and+network+applications+and+devices&qid=1574352197&sr=8-1,https://www.worldcat.org/title/raspberry-pi-for-arduino-users-building-iot-and-network-applications-and-devices/oclc/1050941736&referer=brief_results,"This book builds off of your Arduino skills to show you how to use Raspberry Pi's to create even cooler electronics.  You will learn some C++ coding, connecting your applications to the internet, and more."
Hacking electronics : learning electronics with Arduino and Raspberry Pi,"Simon,Monk",2017,1-260-01221-2,General,Beginner,checked,"Arduinos,Raspberry Pi's,Soldering",https://www.amazon.com/Hacking-Electronics-Learning-Arduino-Raspberry/dp/1260012204/ref=sr_1_1?keywords=Hacking+electronics+%3A+learning+electronics+with+Arduino+and+Raspberry+Pi&qid=1571080867&s=sporting-goods&sr=8-1,https://www.worldcat.org/title/hacking-electronics-learning-electronics-with-arduino-and-raspberry-pi-second-edition/oclc/1012858110&referer=brief_results,"Hacking electronics is a step by step guide to experimenting with electronics projects using Raspberry Pi's and Arduinos.  Using these platforms, the book guides you with easy-to-follow visuals and do-it-yourself projects."
